SKU,Description,Case,Pack,description,Color,width,length,Panel Depth,Cradle Depth,Profile,Cradle Width,,,,,,,,,,,,,
PWP150404,"Cs(10) 4x4 1.5"" Smooth Primed",10,1,Artist Panel Smooth,,4,4,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
PWP150505,"Cs(10) 5x5 1.5"" Smooth Primed",10,1,Artist Panel Smooth,,5,5,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
PWP150507,"Cs(10) 5x7 1.5"" Smooth Primed",10,1,Artist Panel Smooth,,5,7,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
PWP150606,"Cs(10) 6x6 1.5"" Smooth Primed",10,1,Artist Panel Smooth,,6,6,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
PWP150612,"Cs(10) 6x12 1.5"" Smooth Primed",10,1,Artist Panel Smooth,,6,12,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
PWP150808,"Cs(10) 8x8 1.5"" Smooth Primed",10,1,Artist Panel Smooth,,8,8,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
PWP150810,"Cs(10) 8x10 1.5"" Smooth Primed",10,1,Artist Panel Smooth,,8,10,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
PWP150912,"Cs(10) 9x12 1.5"" Smooth Primed",10,1,Artist Panel Smooth,,9,12,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
PWP151010,"Cs(10) 10x10 1.5"" Smooth Prime",10,1,Artist Panel Smooth,,10,10,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
PWP151114,"Cs(10) 11x14 1.5"" Smooth Prime",10,1,Artist Panel Smooth,,11,14,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
PWP151212,"Cs(10) 12x12 1.5"" Smooth Prime",10,1,Artist Panel Smooth,,12,12,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
PWP151216,"Cs(5) 12x16 1.5"" Smooth Primed",5,1,Artist Panel Smooth,,12,16,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
PWP151616,"Cs(5) 16x16 1.5"" Smooth Primed",5,1,Artist Panel Smooth,,16,16,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
PWP151620,"Cs(5) 16x20 1.5"" Smooth Primed",5,1,Artist Panel Smooth,,16,20,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
PWP151824,"Cs(5) 18x24 1.5"" Smooth Primed",5,1,Artist Panel Smooth,,18,24,"1/8""","1 3/8""","1.5""","3/4""",,,,,,,,,,,,,
PWP750404,"Cs(10) 4x4 7/8"" Smooth Primed",10,1,Artist Panel Smooth,,4,4,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
PWP750406,"Cs(10) 4x6 7/8"" Smooth Primed",10,1,Artist Panel Smooth,,4,6,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
PWP750505,"Cs(10) 5x5 7/8"" Smooth Primed",10,1,Artist Panel Smooth,,5,5,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
PWP750507,"Cs(10) 5x7 7/8"" Smooth Primed",10,1,Artist Panel Smooth,,5,7,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
PWP750606,"Cs(10) 6x6 7/8"" Smooth Primed",10,1,Artist Panel Smooth,,6,6,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
PWP750612,"Cs(10) 6x12 7/8"" Smooth Primed",10,1,Artist Panel Smooth,,6,12,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
PWP750808,"Cs(10) 8x8 7/8"" Smooth Primed",10,1,Artist Panel Smooth,,8,8,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
PWP750810,"Cs(10) 8x10 7/8"" Smooth Primed",10,1,Artist Panel Smooth,,8,10,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
PWP750912,"Cs(10) 9x12 7/8"" Smooth Primed",10,1,Artist Panel Smooth,,9,12,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
PWP751010,"Cs(10) 10x10 7/8"" Smooth Prime",10,1,Artist Panel Smooth,,10,10,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
PWP751114,"Cs(10) 11x14 7/8"" Smooth Prime",10,1,Artist Panel Smooth,,11,14,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
PWP751212,"Cs(10) 12x12 7/8"" Smooth Prime",10,1,Artist Panel Smooth,,12,12,"1/8""","3/4""","7/8""","3/4""",,,,,,,,,,,,,
