SKU,Description,Case,Pack,description,Color,width,length,Panel Depth,Cradle Depth,Profile,Cradle Width
20035070,(5)50 x70 Gessobord 3mm,5,1,Gessobord,,50,70,"1/8""",-,"1/8""",-
20221530,(10)15 x30 Gessobord 2.2cm,10,1,Gessobord,,15,30,"1/8""","3/4""","7/8""","3/4"""
20222020,(10)20 x20 Gessobord 2.2cm,10,1,Gessobord,,20,20,"1/8""","3/4""","7/8""","3/4"""
20222030,(10)20 x30 Gessobord 2.2cm,10,1,Gessobord,,20,30,"1/8""","3/4""","7/8""","3/4"""
20222430,(5)24 x30 Gessobord 2.2cm,5,1,Gessobord,,24,30,"1/8""","3/4""","7/8""","3/4"""
20223040,(5)30 x40 Gessobord 2.2cm,5,1,Gessobord,,30,40,"1/8""","3/4""","7/8""","3/4"""
20224040,(5)40 x40 Gessobord 2.2cm,5,1,Gessobord,,40,40,"1/8""","3/4""","7/8""","3/4"""
20224050,(5)40 x50 Gessobord 2.2cm,5,1,Gessobord,,40,50,"1/8""","3/4""","7/8""","3/4"""
20224060,(5)40 x60 Gessobord 2.2cm,5,1,Gessobord,,40,60,"1/8""","3/4""","7/8""","3/4"""
20225050,(5)50 x50 Gessobord 2.2cm,5,1,Gessobord,,50,50,"1/8""","3/4""","7/8""","3/4"""
20381530,(10)15 x30 Gessobord 3.8cm,10,1,Gessobord,,15,30,"1/8""","1 3/8""","1.5""","3/4"""
20382020,(10)20 x20 Gessobord 3.8cm,10,1,Gessobord,,20,20,"1/8""","1 3/8""","1.5""","3/4"""
20382030,(10)20 x30 Gessobord 3.8cm,10,1,Gessobord,,20,30,"1/8""","1 3/8""","1.5""","3/4"""
20382430,(5)24 x30 Gessobord 3.8cm,5,1,Gessobord,,24,30,"1/8""","1 3/8""","1.5""","3/4"""
20383040,(5)30 x40 Gessobord 3.8cm,5,1,Gessobord,,30,40,"1/8""","1 3/8""","1.5""","3/4"""
20384040,(5)40 x40 Gessobord 3.8cm,5,1,Gessobord,,40,40,"1/8""","1 3/8""","1.5""","3/4"""
20385050,(5)50 x50 Gessobord 3.8cm,5,1,Gessobord,,50,50,"1/8""","1 3/8""","1.5""","3/4"""
30031318,(10)13x18 Encausticbord 3mm,10,1,Encausticbord,,13,18,"1/8""",-,"1/8""",-
30221530,(10)15x30 Encausticbord 2.2cm,10,1,Encausticbord,,15,30,"1/8""","3/4""","7/8""","3/4"""
30222030,(10)20x30 Encausticbord 2.2cm,10,1,Encausticbord,,20,30,"1/8""","3/4""","7/8""","3/4"""
30222430,(5)24x30 Encausticbord 2.2cm,5,1,Encausticbord,,24,30,"1/8""","3/4""","7/8""","3/4"""
30223030,(5)30x30 Encausticbord 2.2cm,5,1,Encausticbord,,30,30,"1/8""","3/4""","7/8""","3/4"""
30223040,(5)30x40 Encausticbord 2.2cm,5,1,Encausticbord,,30,40,"1/8""","3/4""","7/8""","3/4"""
30224040,(5)40x40 Encausticbord 2.2cm,5,1,Encausticbord,,40,40,"1/8""","3/4""","7/8""","3/4"""
30224050,(5)40x50 Encausticbord 2.2cm,5,1,Encausticbord,,40,50,"1/8""","3/4""","7/8""","3/4"""
30381530,(10)15x30 Encausticbord 3.8cm,10,1,Encausticbord,,15,30,"1/8""","1 3/8""","1.5""","3/4"""
